sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
514.10699,10,-896.37341,324,1.0,0.00174,0.0,8,11323,89,50.59581,10.65168,6,905.58008,23532.13477,94.1115,0.44875,-33.46073864552961,-70.67407425413283
514.16083,10,-895.76788,324,1.0,0.00174,0.0,8,11325,89,50.59383,10.70545,6,910.43359,23536.98828,98.93065,0.44655,-33.46073866532963,-70.6741692720217
514.21448,10,-895.16437,324,1.0,0.00174,0.0,8,11327,89,50.59187,10.75908,6,915.27148,23541.82617,103.73116,0.44412,-33.46073868719965,-70.67426392232461
514.25964,10,-894.65515,324,1.0,0.00123,0.0,8,11328,89,50.59021,10.80428,6,919.3457,23545.90039,107.77534,0.44159,-33.460738709969675,-70.67434366015615
514.31396,10,-894.04211,324,1.0,0.0,0.0,8,11330,89,50.58822,10.85842,6,924.24023,23550.79492,112.63483,0.43852,-33.4607387375997,-70.674439473183
514.36877,10,-893.42224,324,1.0,0.00123,0.0,8,11332,89,50.58621,10.91329,6,929.18359,23555.73828,117.54148,0.43599,-33.46073876036972,-70.67453621618127
514.42334,10,-892.80371,324,1.0,0.00174,0.0,8,11333,89,50.5842,10.96772,6,934.11133,23560.66602,122.43141,0.4337,-33.460738780979746,-70.6746326295661
514.46973,10,-892.27747,324,1.0,0.0,0.0,8,11335,89,50.5825,11.01403,6,938.29102,23564.8457,126.58136,0.43131,-33.460738802489765,-70.67471445285221
514.52496,10,-891.65015,325,1.0,0.00123,0.0,8,11336,89,50.58048,11.06926,6,943.26953,23569.82422,131.52269,0.42801,-33.4607388321898,-70.67481187940884
514.57159,10,-891.11896,325,1.0,0.0,0.0,8,11338,89,50.57877,11.1157,6,947.47461,23574.0293,135.69543,0.42568,-33.46073885315982,-70.67489415204139
514.62744,10,-890.48071,325,1.0,0.00123,0.0,8,11339,89,50.57672,11.17162,6,952.51562,23579.07031,140.69902,0.42339,-33.460738873769834,-70.67499280640986
514.67413,10,-889.94623,325,1.0,0.00214,0.0,8,11341,89,50.575,11.21816,6,956.73242,23583.28711,144.88248,0.42131,-33.46073889248986,-70.67507529045797
514.73071,10,-889.29694,325,1.0,0.00174,0.0,8,11342,89,50.57293,11.27476,6,961.83984,23588.39453,149.95088,0.41811,-33.46073892128989,-70.67517522242083
514.7774,10,-888.76013,325,1.0,0.00174,0.0,8,11344,89,50.57121,11.32152,6,966.05273,23592.60742,154.13228,0.41526,-33.46073894693991,-70.67525766563483
514.82434,10,-888.21844,325,1.0,0.0,0.0,8,11345,89,50.56949,11.36828,6,970.28906,23596.84375,158.33427,0.41277,-33.46073896934993,-70.67534051490564
514.88104,10,-887.56091,325,1.0,0.0,0.0,8,11346,89,50.56741,11.42503,6,975.41602,23601.9707,163.41888,0.41002,-33.460738994099955,-70.67544076656861
514.92792,10,-887.01642,325,1.0,0.00247,0.0,8,11347,89,50.56568,11.47198,6,979.65039,23606.20508,167.61827,0.40758,-33.46073901605998,-70.67552356457347
514.98383,10,-886.36603,325,1.0,0.00276,0.0,8,11349,89,50.56363,11.5278,6,984.69727,23611.25195,172.62086,0.40511,-33.46073903829,-70.67562219911986
515.03961,10,-885.71387,325,1.0,0.0,0.0,8,11350,89,50.56158,11.58364,6,989.73438,23616.28906,177.61539,0.40242,-33.460739062500025,-70.67572067468025
515.08539,10,-885.17554,325,1.0,0.00174,0.0,8,11351,89,50.5599,11.62954,6,993.88086,23620.43555,181.72729,0.39984,-33.46073908572005,-70.67580174759864
515.14099,10,-884.51965,325,1.0,0.0,0.0,8,11353,89,50.55785,11.68509,6,998.91211,23625.4668,186.71481,0.39682,-33.46073911290008,-70.67590008483573
515.19617,10,-883.86816,325,1.0,0.00123,0.0,8,11354,89,50.55583,11.74031,6,1003.90039,23630.45508,191.65976,0.39419,-33.4607391365701,-70.67599758282512
515.24243,10,-883.32086,325,1.0,0.0,0.0,8,11355,89,50.55413,11.78644,6,1008.07812,23634.63281,195.79955,0.39214,-33.46073915502012,-70.67607920576896
515.29718,10,-882.67157,325,1.0,0.0,0.0,8,11356,89,50.55212,11.84132,6,1013.02539,23639.58008,200.7048,0.38943,-33.46073917941014,-70.6761759209618
515.35144,10,-882.02551,325,1.0,0.00174,0.0,8,11357,89,50.55013,11.89567,6,1017.9375,23644.49219,205.57381,0.38632,-33.460739207400174,-70.67627192149517
515.40527,10,-881.38489,325,1.0,0.0,0.0,8,11359,89,50.54815,11.9495,6,1022.80273,23649.35742,210.3947,0.38371,-33.4607392308902,-70.67636697338628
